city,country,koppen_id,latitude,longitude,timezone
Sydney,Australia,Cfa,-33.8688,151.2093,AEST (UTC+10)
Anchorage,United States,Dsc,61.2181,-149.9003,AKDT (UTC-8)
Mexico City,Mexico,Cwb,19.4326,-99.1332,CST (UTC-6)
Tromsø,Norway,ET,69.6496,18.956,CET (UTC+1)
Cairo,Egypt,BWh,30.0444,31.2357,EET (UTC+2)
Buenos Aires,Argentina,Cfa,-34.6037,-58.3816,ART (UTC-3)
Tokyo,Japan,Cfa,35.6895,139.6917,JST (UTC+9)
Reykjavik,Iceland,ET,64.1466,-21.9426,GMT (UTC+0)
Cape Town,South Africa,Csb,-33.9249,18.4241,SAST (UTC+2)
Honolulu,United States,Am,21.3069,-157.8583,HST (UTC-10)
Moscow,Russia,Dfb,55.7512,37.6184,MSK (UTC+3)
Rio de Janeiro,Brazil,Am,-22.9068,-43.1729,BRT (UTC-3)
Vancouver,Canada,Cfb,49.2827,-123.1207,PDT (UTC-7)
Nairobi,Kenia,Cwb,-1.2869,36.8172,EAT (UTC+3)
Helsinki,Finland,Dfb,60.1699,24.9384,EET (UTC+2)
Dubai,United Arab Emirates,BWh,25.2769,55.2963,GST (UTC+4)
Seattle,United States,Csb,47.6062,-122.3321,PDT (UTC-7)
Stockholm,Sweden,Cfb,59.3293,18.0686,CET (UTC+1)
Singapore,Singapore,Af,1.3521,103.8198,SGT (UTC+8)
Oslo,Norway,Dfb,59.9139,10.7522,CET (UTC+1)
Mumbai,India,Am,19.076,72.8777,IST (UTC+5:30)
Los Angeles,United States,Csb,34.0522,-118.2437,PDT (UTC-7)
Auckland,New Zealand,Cfb,-36.8485,174.7633,NZST (UTC+12)
Rome,Italy,Csa,41.9028,12.4964,CET (UTC+1)
Toronto,Canada,Dfb,43.6532,-79.3832,EDT (UTC-4)
Seoul,South Korea,Dwa,37.5665,126.978,KST (UTC+9)
Bangkok,Thailand,Aw,13.7563,100.5018,ICT (UTC+7)
Seville,Spain,Csa,37.3893,-5.9844,CEST (UTC+2)
Madrid,Spain,BSk,40.4168,-3.7038,CEST (UTC+2)
Kampala,Uganda,Af,0.3474,32.5825,EAT (UTC+3)
Kathmandu,Nepal,Cwb,27.7129,85.3186,NPT (UTC+5:45)
Lima,Peru,BWh,-12.0464,-77.0428,PET (UTC-5)
Vientiane,Laos,Aw,17.9752,102.6156,ICT (UTC+7)
